iter	Passed	Remaining
0	156	156246
1	160	80238
2	164	54693
3	166	41538
4	169	33635
5	171	28371
6	172	24520
7	174	21649
8	176	19487
9	178	17658
10	179	16151
11	180	14895
12	182	13854
13	183	12942
14	184	12144
15	186	11443
16	187	10822
17	188	10307
18	190	9839
19	191	9386
20	192	8974
21	193	8597
22	194	8267
23	195	7952
24	196	7672
25	197	7400
26	198	7148
27	199	6915
28	200	6698
29	200	6495
30	201	6307
31	203	6154
32	204	5997
33	205	5847
34	207	5707
35	208	5576
36	209	5465
37	211	5346
38	212	5226
39	212	5110
40	213	5002
41	214	4899
42	215	4800
43	217	4718
44	218	4635
45	219	4560
46	221	4485
47	222	4406
48	223	4331
49	224	4256
50	224	4185
51	225	4116
52	226	4048
53	227	3983
54	228	3922
55	229	3863
56	230	3805
57	231	3762
58	232	3714
59	233	3662
60	234	3615
61	235	3566
62	236	3519
63	237	3474
64	238	3429
65	239	3386
66	240	3344
67	240	3302
68	241	3262
69	242	3223
70	243	3186
71	244	3150
72	245	3120
73	247	3091
74	247	3057
75	248	3024
76	249	2992
77	250	2961
78	251	2930
79	252	2900
80	253	2871
81	253	2842
82	254	2810
83	255	2784
84	256	2758
85	257	2732
86	258	2709
87	259	2689
88	260	2669
89	261	2647
90	262	2623
91	263	2602
92	264	2580
93	265	2557
94	266	2536
95	267	2515
96	267	2494
97	268	2474
98	269	2454
99	270	2436
100	271	2416
101	272	2400
102	273	2381
103	275	2371
104	276	2356
105	277	2341
106	278	2324
107	279	2307
108	280	2291
109	281	2274
110	281	2258
111	283	2244
112	284	2229
113	284	2214
114	285	2199
115	286	2186
116	287	2171
117	288	2158
118	289	2146
119	291	2135
120	292	2123
121	293	2110
122	294	2098
123	296	2092
124	297	2080
125	298	2069
126	299	2056
127	300	2045
128	301	2033
129	302	2021
130	303	2011
131	304	2005
132	305	1994
133	306	1982
134	307	1971
135	308	1959
136	309	1948
137	310	1937
138	311	1928
139	312	1918
140	313	1908
141	314	1897
142	314	1886
143	315	1876
144	316	1866
145	317	1857
146	319	1851
147	320	1843
148	321	1834
149	321	1824
150	322	1815
151	323	1806
152	324	1796
153	325	1788
154	326	1779
155	327	1771
156	328	1762
157	329	1753
158	329	1745
159	330	1736
160	331	1727
161	332	1722
162	334	1716
163	335	1708
164	335	1700
165	336	1692
166	337	1684
167	338	1677
168	339	1669
169	340	1662
170	341	1655
171	342	1648
172	343	1640
173	344	1633
174	344	1626
175	346	1620
176	347	1616
177	348	1610
178	349	1605
179	351	1600
180	352	1595
181	353	1589
182	354	1583
183	355	1577
184	356	1570
185	357	1565
186	358	1559
187	360	1558
188	364	1564
189	365	1558
190	370	1568
191	371	1562
192	372	1557
193	375	1558
194	376	1555
195	379	1557
196	380	1552
197	384	1556
198	386	1556
199	388	1553
200	389	1550
201	392	1552
202	394	1549
203	395	1544
204	397	1540
205	399	1538
206	400	1534
207	401	1528
208	402	1523
209	405	1524
210	406	1519
211	407	1515
212	408	1510
213	409	1505
214	410	1499
215	412	1496
216	413	1491
217	414	1486
218	415	1480
219	415	1474
220	416	1469
221	420	1472
222	421	1468
223	422	1462
224	423	1457
225	424	1452
226	424	1447
227	426	1443
228	427	1438
229	428	1434
230	429	1428
231	430	1423
232	430	1418
233	431	1413
234	434	1415
235	436	1412
236	438	1410
237	439	1407
238	440	1403
239	441	1399
240	442	1394
241	443	1389
242	444	1384
243	445	1379
244	446	1377
245	450	1381
246	451	1377
247	452	1372
248	453	1368
249	454	1364
250	456	1360
251	456	1356
252	457	1351
253	458	1347
254	459	1342
255	461	1340
256	465	1345
257	466	1342
258	467	1338
259	468	1334
260	470	1330
261	471	1328
262	472	1324
263	473	1319
264	474	1317
265	476	1313
266	478	1313
267	479	1310
268	481	1307
269	482	1303
270	483	1299
271	484	1295
272	484	1291
273	485	1287
274	486	1282
275	487	1279
276	488	1275
277	489	1270
278	490	1267
279	491	1263
280	493	1263
281	494	1260
282	495	1255
283	496	1251
284	497	1247
285	498	1243
286	499	1240
287	500	1236
288	501	1232
289	501	1228
290	502	1225
291	503	1221
292	504	1217
293	505	1214
294	508	1216
295	510	1213
296	511	1210
297	512	1207
298	514	1205
299	515	1203
300	516	1200
301	517	1197
302	520	1198
303	522	1196
304	523	1193
305	524	1190
306	526	1187
307	527	1184
308	528	1181
309	529	1179
310	530	1176
311	531	1173
312	533	1170
313	534	1168
314	536	1166
315	537	1164
316	538	1161
317	539	1158
318	541	1155
319	542	1152
320	543	1150
321	545	1147
322	546	1145
323	548	1144
324	550	1142
325	551	1141
326	553	1138
327	554	1135
328	555	1132
329	556	1129
330	558	1128
331	559	1126
332	561	1125
333	563	1124
334	567	1125
335	568	1123
336	575	1132
337	577	1130
338	578	1128
339	579	1125
340	581	1123
341	583	1122
342	584	1119
343	585	1117
344	586	1114
345	588	1112
346	589	1108
347	590	1105
348	591	1102
349	592	1099
350	593	1096
351	593	1093
352	594	1090
353	596	1088
354	598	1087
355	599	1084
356	600	1081
357	601	1079
358	602	1076
359	604	1073
360	605	1071
361	606	1069
362	608	1067
363	612	1070
364	614	1068
365	616	1067
366	619	1068
367	620	1066
368	622	1064
369	623	1061
370	628	1065
371	630	1064
372	632	1062
373	634	1061
374	636	1061
375	638	1059
376	642	1061
377	643	1059
378	645	1057
379	648	1057
380	649	1054
381	650	1052
382	651	1049
383	652	1047
384	654	1045
385	658	1047
386	664	1051
387	666	1051
388	668	1050
389	678	1061
390	680	1059
391	682	1058
392	683	1056
393	687	1058
394	690	1058
395	692	1055
396	693	1052
397	694	1050
398	695	1047
399	697	1045
400	698	1043
401	699	1040
402	701	1038
403	702	1036
404	703	1033
405	704	1030
406	705	1027
407	706	1024
408	707	1021
409	708	1019
410	709	1016
411	710	1013
412	711	1011
413	712	1008
414	713	1005
415	714	1002
416	715	1000
417	717	998
418	718	995
419	719	993
420	720	990
421	720	987
422	721	984
423	722	981
424	723	979
425	724	976
426	725	973
427	726	970
428	727	968
429	728	965
430	729	963
431	731	961
432	732	959
433	733	956
434	734	954
435	735	951
436	736	948
437	737	946
438	738	943
439	739	940
440	740	938
441	741	935
442	741	932
443	743	930
444	746	930
445	748	929
446	750	928
447	752	926
448	753	924
449	754	922
450	755	920
451	757	917
452	758	916
453	761	915
454	762	913
455	763	911
456	764	908
457	766	907
458	767	904
459	768	902
460	769	899
461	770	896
462	771	894
463	772	892
464	773	889
465	775	888
466	776	885
467	776	883
468	777	880
469	778	878
470	779	875
471	780	873
472	781	871
473	782	868
474	783	865
475	784	863
476	785	861
477	786	858
478	787	856
479	789	854
480	790	852
481	791	850
482	792	847
483	793	845
484	794	843
485	795	840
486	795	838
487	796	835
488	797	833
489	798	831
490	799	829
491	800	827
492	802	825
493	805	824
494	806	822
495	806	820
496	807	817
497	808	815
498	809	812
499	810	810
500	811	807
501	812	805
502	812	803
503	813	800
504	814	798
505	815	796
506	817	794
507	818	792
508	820	791
509	821	789
510	822	787
511	823	785
512	824	782
513	825	780
514	827	779
515	828	776
516	829	774
517	830	772
518	831	770
519	833	769
520	834	767
521	835	764
522	836	762
523	836	760
524	837	758
525	838	755
526	839	753
527	840	751
528	841	749
529	842	746
530	843	744
531	844	742
532	845	740
533	845	738
534	848	737
535	848	734
536	849	732
537	850	730
538	851	728
539	852	726
540	853	724
541	854	722
542	855	720
543	856	718
544	857	716
545	858	713
546	859	711
547	860	709
548	862	708
549	863	706
550	864	704
551	865	702
552	866	700
553	868	698
554	869	697
555	870	695
556	871	693
557	872	691
558	873	689
559	874	687
560	875	685
561	877	684
562	878	682
563	880	680
564	881	678
565	882	676
566	883	674
567	885	673
568	886	671
569	887	669
570	888	667
571	889	665
572	890	663
573	891	661
574	892	659
575	894	658
576	895	656
577	896	654
578	896	652
579	897	650
580	898	648
581	899	646
582	900	644
583	902	642
584	902	640
585	903	638
586	904	636
587	905	634
588	907	633
589	908	631
590	909	629
591	910	627
592	911	625
593	911	623
594	912	621
595	913	619
596	914	617
597	915	615
598	916	613
599	917	611
600	918	609
601	919	607
602	921	606
603	922	604
604	923	602
605	923	600
606	925	599
607	926	597
608	926	595
609	927	593
610	928	591
611	929	589
612	930	587
613	931	585
614	932	583
615	933	581
616	934	579
617	936	578
618	937	577
619	938	575
620	940	574
621	941	572
622	944	571
623	945	569
624	946	568
625	948	566
626	995	592
627	997	590
628	998	589
629	1001	588
630	1003	586
631	1004	585
632	1006	583
633	1007	581
634	1008	579
635	1010	578
636	1011	576
637	1014	575
638	1016	574
639	1018	572
640	1019	571
641	1021	569
642	1022	567
643	1023	566
644	1025	564
645	1027	562
646	1029	561
647	1031	560
648	1033	559
649	1035	557
650	1036	555
651	1040	555
652	1041	553
653	1043	551
654	1044	550
655	1046	548
656	1048	547
657	1049	545
658	1051	544
659	1054	543
660	1056	541
661	1073	547
662	1074	546
663	1075	544
664	1077	542
665	1078	541
666	1080	539
667	1081	537
668	1084	536
669	1086	534
670	1087	533
671	1088	531
672	1090	529
673	1092	528
674	1093	526
675	1095	524
676	1097	523
677	1099	522
